0;Concurso;Data Sorteio;1ª Dezena;2ª Dezena;3ª Dezena;4ª Dezena;5ª Dezena;6ª Dezena;Arrecadacao_Total;Ganhadores_Sena;Cidade;UF;Rateio_Sena;Ganhadores_Quina;Rateio_Quina;Ganhadores_Quadra;Rateio_Quadra;Acumulado;Valor_Acumulado;Estimativa_Prêmio;Acumulado_Mega_da_Virada
1;1;11/03/1996;41;05;04;52;30;33;000;0;;;000;17;39.15892;2016;33021;SIM;1.714.65023;000;000
2;2;18/03/1996;09;39;37;49;43;41;000;1;;PR;2.307.16223;65;14.42402;4488;20891;NÃO;000;000;000
3;3;25/03/1996;36;30;10;11;29;47;000;2;;RN;391.19251;62;10.51593;4261;15301;NÃO;000;000;000
4;;SP;;;;;;;;;;;;;;;;;;;
5;4;01/04/1996;06;59;42;27;01;05;000;0;;;000;39;15.32224;3311;18048;SIM;717.08075;000;000
6;5;08/04/1996;01;19;46;06;16;02;000;0;;;000;98;5.31810;5399;9653;SIM;1.342.48885;000;000
7;6;15/04/1996;19;40;07;13;22;47;000;0;;;000;109;7.21466;7147;11003;SIM;2.286.16633;000;000
8;7;22/04/1996;56;38;21;20;03;05;000;0;;;000;100;8.74605;5736;15248;SIM;3.335.69228;000;000
9;8;29/04/1996;53;17;38;04;47;37;000;0;;;000;60;16.08411;5262;18340;SIM;4.493.74819;000;000
10;9;06/05/1996;55;43;56;54;08;60;000;0;;;000;17;60.04379;2175;46931;SIM;5.718.64149;000;000
11;10;13/05/1996;25;04;18;57;21;38;000;0;;;000;251;6.63845;12590;13235;SIM;13.334.76981;000;000
12;11;20/05/1996;25;15;58;37;59;38;000;1;;RJ;15.591.36507;148;12.70605;9442;19916;NÃO;000;000;000
13;12;27/05/1996;20;27;43;16;19;04;000;0;;;000;108;6.79117;6454;11364;SIM;880.13624;000;000
14;13;03/06/1996;47;32;50;54;18;56;000;0;;;000;43;20.54398;2934;30109;SIM;1.940.20535;000;000
15;14;10/06/1996;16;02;27;47;23;53;000;0;;;000;85;10.45819;5323;16700;SIM;3.006.94132;000;000
16;15;17/06/1996;60;12;33;52;35;51;000;0;;;000;57;17.91989;3931;25984;SIM;4.232.66135;000;000
17;16;24/06/1996;60;58;49;32;20;34;000;0;;;000;31;33.30713;3250;31770;SIM;5.471.68662;000;000
18;17;01/07/1996;10;20;06;19;51;13;000;1;;SP;6.789.86908;144;7.62837;9376;11716;NÃO;000;000;000
19;18;08/07/1996;37;36;56;27;42;23;000;0;;;000;52;13.76352;4484;15961;SIM;858.84348;000;000
20;19;15/07/1996;05;25;12;10;60;24;000;0;;;000;159;5.38014;9250;9248;SIM;10.506.26673;000;000
21;20;22/07/1996;25;28;30;33;51;11;000;0;;;000;72;15.48697;5728;19467;SIM;11.844.34083;000;000
22;21;29/07/1996;49;46;06;53;33;36;000;0;;;000;63;17.69419;5030;22162;SIM;13.182.02144;000;000
23;22;05/08/1996;09;38;56;01;31;46;000;0;;;000;47;27.21290;4865;26290;SIM;14.716.82884;000;000
24;23;12/08/1996;17;52;51;59;39;37;000;0;;;000;74;20.19846;4897;30523;SIM;16.510.45200;000;000
25;24;19/08/1996;01;08;14;28;33;43;000;1;;;18.661.67961;227;7.89731;13486;13293;NÃO;000;000;000
26;25;25/08/1996;56;50;55;54;24;43;000;0;;;000;28;26.33850;2741;26906;SIM;884.97350;000;000
27;26;01/09/1996;50;53;57;10;58;22;000;0;;;000;16;52.47374;1823;46055;SIM;1.892.46930;000;000
28;27;08/09/1996;44;33;13;51;17;20;000;0;;;000;99;9.30624;6466;14249;SIM;2.998.05068;000;000
29;28;15/09/1996;60;06;22;03;24;54;000;0;;;000;50;19.74922;4895;20173;SIM;4.183.00348;000;000
30;29;22/09/1996;14;56;58;08;43;03;000;1;;RS;5.401.79360;44;23.08315;5248;19353;NÃO;000;000;000
31;30;29/09/1996;38;50;07;29;15;14;000;0;;;000;80;11.34774;5885;15426;SIM;10.127.52080;000;000
32;31;06/10/1996;56;19;28;48;17;45;000;0;;;000;103;8.79304;5680;15945;SIM;11.214.34046;000;000
33;32;13/10/1996;43;33;14;36;05;44;000;0;;;000;96;11.43091;6876;15960;SIM;12.531.18183;000;000
34;33;20/10/1996;05;33;49;17;42;39;000;1;;MG;13.997.41074;128;9.54576;8722;14009;NÃO;000;000;000
35;34;27/10/1996;15;13;57;53;40;17;000;0;;;000;51;13.60406;2627;26411;SIM;832.56820;000;000
36;35;03/11/1996;21;57;16;23;54;04;000;0;;;000;39;20.05118;3576;21868;SIM;1.770.96349;000;000
37;36;10/11/1996;13;03;51;17;29;25;000;0;;;000;143;6.23812;8548;10436;SIM;2.841.42578;000;000
38;37;17/11/1996;22;06;07;52;38;60;000;0;;;000;47;16.84861;3695;21432;SIM;3.791.68726;000;000
39;38;24/11/1996;55;42;10;43;45;54;000;0;;;000;24;38.86310;1999;46659;SIM;4.910.94453;000;000
40;39;01/12/1996;16;37;45;52;56;12;000;0;;;000;73;13.45905;4444;22109;SIM;13.456.11133;000;000
41;40;08/12/1996;03;12;46;05;47;08;000;0;;;000;189;7.78993;12117;12151;SIM;15.222.86704;000;000
42;41;15/12/1996;38;26;35;39;12;47;000;1;;BA;17.019.23850;148;10.11470;10182;14703;NÃO;000;000;000
